价格档（当日）,未提取计划量(kWh),紧急购电量(kWh),弃光量(kWh),未提取占比(%),紧急购电占比(%)
最便宜25%,536954.1335726471,29167.77981702314,460152.25865096936,32.74890670137409,13.434064740555929
次便宜25%,572996.3415951597,72817.09746265653,257264.00796789204,34.94712594216347,33.538020640219464
次贵25%,326668.78801247757,55806.35396878359,830088.6409644418,19.923574458197532,25.703230648822622
最贵25%,202990.07849620422,59326.821852538225,412166.3713729745,12.380392898264923,27.324683970401985
