date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells,clipped_price_scenario_cells
2025-03-31,0,Sall,0.0,40491.60546755446,48301.93868011995,42057.53192412713,5223.673870121804,5223.673870121804,0,0,0
2025-03-31,6,Sall,6990.057556029991,34839.81853092921,43841.98379572219,36643.77997353058,9883.428008043678,5223.673870121804,0,0,0
2025-03-31,12,Sall,4426.511539572611,26415.188392294225,34196.60743862231,27973.31333607927,7125.379808776841,5223.673870121804,0,4,0
2025-03-31,18,Sall,79.56019976266839,14631.969317749034,15909.509885945883,14888.726281571691,10003.615272888417,5223.673870121804,0,0,0
2025-04-01,0,Sall,0.0,46699.03093244466,53830.730716367216,48129.561030219564,5223.673870121806,5223.673870121806,0,0,0
2025-04-01,6,Sall,3994.408988636135,35145.23818456974,42535.356808241144,36626.74401727191,9912.255879694534,5223.673870121806,0,0,0
2025-04-01,12,Sall,2040.3620347612343,26624.310840585982,34720.29130954692,28245.385344978993,7050.0,5223.673870121806,0,0,0
2025-04-01,18,Sall,55.15873828602208,13338.630004349892,14950.777065483846,13662.379935336467,10800.0,5223.673870121806,0,0,0
2025-04-02,0,Sall,0.0,44791.168873675,50542.19938251844,45945.55116960075,5223.673870121807,5223.673870121807,0,8,0
2025-04-02,6,Sall,2138.522125782103,33641.57625781979,37509.70783473424,34418.57380427283,9933.347174421056,5223.673870121807,0,0,0
2025-04-02,12,Sall,2780.6544159871837,24797.3452494078,30608.68097688215,25961.365157450065,7527.327994270542,5223.673870121807,0,0,0
2025-04-02,18,Sall,13.109274654431033,14531.604208508343,17225.774379289498,15071.684016584117,10003.979560059537,5223.673870121807,0,0,0
2025-04-03,0,Sall,0.0,45873.84214132298,55789.68645049773,47861.30478504204,5223.673870121807,5223.673870121807,0,10,0
2025-04-03,6,Sall,2969.79923099374,29755.80100994097,34572.80017329387,30722.675720977266,9927.826962425086,5223.673870121807,0,0,0
2025-04-03,12,Sall,2553.905251317136,25569.40817051206,28783.029941098943,26213.985000937075,6933.9434735617915,5223.673870121807,0,0,0
2025-04-03,18,Sall,3.6748469244960233,13677.503799847927,14486.506170731604,13840.622447241212,10800.0,5223.673870121807,0,0,0
2025-04-04,0,Sall,0.0,15395.813094766745,17990.704203160276,15917.531188634875,5223.673870121808,5223.673870121808,0,0,0
2025-04-04,6,Sall,199.72502678104786,8910.796111593438,10051.960217577946,9141.675197380406,4112.6545148689165,5223.673870121808,0,0,0
2025-04-04,12,Sall,199.72502678104837,8874.832218306361,10016.097497844508,9105.117771093146,4363.015397513573,5223.673870121808,0,0,0
2025-04-04,18,Sall,40.189380007169234,7183.361557215207,8212.26576836429,7390.384252133946,9959.452985037233,5223.673870121808,0,0,0
2025-04-05,0,Sall,0.0,11672.638783110648,14330.99821030636,12207.180586641078,5223.673870121809,5223.673870121809,0,0,43
2025-04-05,6,Sall,109.1662630808461,6758.704349667942,7689.5725760095165,6947.609902099054,3689.078136402142,5223.673870121809,0,0,38
2025-04-05,12,Sall,91.51651103480474,6873.351756775007,7735.338936742398,7047.777159423266,5525.102528795157,5223.673870121809,0,0,2
2025-04-05,18,Sall,6.821210263296962e-13,5161.857866165924,5927.968548458925,5316.441658013663,9901.535604110959,5223.673870121809,0,9,0
2025-04-06,0,Sall,0.0,39670.40659738116,50363.4637836541,41813.03020130244,5223.673870121811,5223.673870121811,0,0,0
2025-04-06,6,Sall,3118.594361057688,27428.87093932641,29284.602728862577,27811.037210042792,9961.320020072793,5223.673870121811,0,12,0
2025-04-06,12,Sall,868.9391393445233,25823.332565805114,30478.7781110439,26756.379587745116,6171.045334673517,5223.673870121811,0,4,0
2025-04-06,18,Sall,23.013836586057096,13668.62969546262,15513.71328851059,14038.95493482714,10736.353065878047,5223.673870121811,0,0,0
2025-04-07,0,Sall,0.0,37249.55463422137,44459.54921255755,38695.41764120668,5223.673870121813,5223.673870121813,0,0,0
2025-04-07,6,Sall,2954.269879559424,27647.471180451892,33323.689703270706,28786.517585662197,9929.971713072731,5223.673870121813,0,12,0
2025-04-07,12,Sall,2305.7039457011933,24953.113010919664,31188.384413765787,26201.83090455452,8047.716577679483,5223.673870121813,0,0,0
2025-04-07,18,Sall,34.2254226783233,14092.028635403058,14524.608387742383,14191.909683986454,10748.636556835863,5223.673870121813,0,0,0
