time_label,price,L_kwh,G_kwh,x_plan_kwh,c_charge_kwh,r_discharge_kwh,w_curtail_kwh,soc_kwh,mu_bal,mu_soc
00:10:00,0.4248,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,0.0,6750.0,0.4248,-0.47544444444444445
00:20:00,0.4245,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,0.0,7500.0,0.4245,-0.47544444444444445
00:30:00,0.4269,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,0.0,8250.0,0.4269,-0.47544444444444445
00:40:00,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,0.0,9000.0,0.4272,-0.47544444444444445
00:50:00,0.4271,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,0.0,9750.0,0.4271,-0.47544444444444445
01:00:00,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,9750.0,0.4285,-0.47544444444444445
01:10:00,0.4311,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0,0.4311,-0.47544444444444445
01:20:00,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,9750.0,0.4302,-0.47544444444444445
01:30:00,0.4279,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,0.0,10050.0,0.4279,-0.47544444444444445
01:40:00,0.4312,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,0.4312,-0.47544444444444445
01:50:00,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0,0.4333,-0.47544444444444445
02:00:00,0.4311,583.0740499999999,0.0,583.0740499999999,0.0,0.0,0.0,10050.0,0.4311,-0.47544444444444445
02:10:00,0.4293,584.2049166666666,0.0,584.2049166666666,0.0,0.0,0.0,10050.0,0.4293,-0.47544444444444445
02:20:00,0.4324,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.0,0.4324,-0.47544444444444445
02:30:00,0.4367,586.1447499999999,0.0,586.1447499999999,0.0,0.0,0.0,10050.0,0.4367,-0.47544444444444445
02:40:00,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0,0.4348,-0.47544444444444445
02:50:00,0.4335,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,0.4335,-0.47544444444444445
03:00:00,0.4357,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,0.4357,-0.47544444444444445
03:10:00,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0,0.4374,-0.47544444444444445
03:20:00,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,0.0,0.0,10050.0,0.4371,-0.47544444444444445
03:30:00,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0,0.4356,-0.47544444444444445
03:40:00,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,0.0,0.0,10050.0,0.4353,-0.47544444444444445
03:50:00,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0,0.436,-0.47544444444444445
04:00:00,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,0.0,0.0,10050.0,0.4378,-0.47544444444444445
04:10:00,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0,0.4401,-0.47544444444444445
04:20:00,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0,0.4389,-0.47544444444444445
04:30:00,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0,0.4364,-0.47544444444444445
04:40:00,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0,0.4393,-0.47544444444444445
04:50:00,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0,0.4422,-0.47544444444444445
05:00:00,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,0.0,10050.0,0.4395,-0.47544444444444445
05:10:00,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0,0.4333,-0.47544444444444445
05:20:00,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,0.0,10050.0,0.4439,-0.47544444444444445
05:30:00,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,0.0,10050.0,0.4301,-0.47544444444444445
05:40:00,0.3713,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,0.0,10800.0,0.3713,-0.47544444444444445
05:50:00,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,0.0,10800.0,0.5708,-0.51372
06:00:00,0.9099,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,0.0,10057.495685185186,0.5907407407407407,-0.5316666666666666
06:10:00,0.9368,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,0.0,9329.211981481481,0.5907407407407407,-0.5316666666666666
06:20:00,0.8758,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,0.0,8644.2075,0.5907407407407407,-0.5316666666666666
06:30:00,0.8759,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,0.0,7987.035851851852,0.5907407407407407,-0.5316666666666666
06:40:00,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,0.0,7367.606000000001,0.5907407407407407,-0.5316666666666666
06:50:00,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,0.0,6779.561888888889,0.5907407407407407,-0.5316666666666666
07:00:00,0.8334,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,0.0,6221.261092592593,0.5907407407407407,-0.5316666666666666
07:10:00,0.8092,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,0.0,5715.212685185185,0.5907407407407407,-0.5316666666666666
07:20:00,0.7972,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,0.0,5259.583018518519,0.5907407407407407,-0.5316666666666666
07:30:00,0.7644,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,0.0,4862.919925925926,0.5907407407407407,-0.5316666666666666
07:40:00,0.6899,730.5594333333333,447.1958666666667,0.0010084786387746828,0.0,283.3625581880279,0.0,4548.07263905034,0.5907407407407407,-0.5316666666666666
07:50:00,0.86,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666657,0.0,4191.756953865154,0.5907407407407407,-0.5316666666666666
08:00:00,1.1617,966.6221166666666,548.2006666666666,0.0,0.0,418.42144999999994,0.0,3726.844231642932,0.5907407407407407,-0.5316666666666666
08:10:00,1.1683,980.8043333333333,598.89355,0.0,0.0,381.91078333333326,0.0,3302.498916828117,0.5907407407407407,-0.5316666666666666
08:20:00,1.0956,958.0118833333332,648.4555333333333,0.0,0.0,309.55634999999995,0.0,2958.547416828117,0.5907407407407407,-0.5316666666666666
08:30:00,1.0849,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,0.0,2664.5258612725615,0.5907407407407407,-0.5316666666666666
08:40:00,1.061,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,0.0,2427.0360834947837,0.5907407407407407,-0.5316666666666666
08:50:00,1.043,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,0.0,2228.6372871984872,0.5907407407407407,-0.5316666666666666
09:00:00,1.036,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,0.0,2055.9793797910797,0.5907407407407407,-0.5316666666666666
09:10:00,1.0147,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,0.0,1931.2466020133018,0.5907407407407407,-0.5316666666666666
09:20:00,0.9922,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,0.0,1859.6945279392278,0.5907407407407407,-0.5316666666666666
09:30:00,0.97,987.2971333333332,964.7348833333333,0.0,0.0,22.56224999999995,0.0,1834.6253612725611,0.5907407407407407,-0.5316666666666666
09:40:00,0.9422,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,0.0,1850.307021272561,0.4785,-0.5316666666666666
09:50:00,0.9569,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,0.0,1897.861011272561,0.4785,-0.5316666666666666
10:00:00,0.9977,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,0.0,1973.9671862725609,0.4785,-0.5316666666666666
10:10,0.9919,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,0.0,2079.252411272561,0.4785,-0.5316666666666666
10:20,0.9588,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,0.0,2211.246951272561,0.4785,-0.5316666666666666
10:30,0.9549,978.9118,1152.43205,0.0,173.52024999999992,0.0,0.0,2367.415176272561,0.4785,-0.5316666666666666
