strategy,report_days,report_start,report_end,initial_soc_kwh,final_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan_for_same_policy,emergency_kwh,curtail_kwh,spill_kwh,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,elapsed_seconds
S0,334,2025-02-01,2025-12-31,6000.0,6000.000000000008,14827454.799933182,8.403731044381857e-10,14827454.799933184,918551.0326360138,15746005.832569197,15746005.832569197,229935.25031840193,1951954.119639565,137310.57580240586,2.0941115508321673e-10,3.4924596548080444e-10,0,113.80149959999835
S6,334,2025-02-01,2025-12-31,6000.0,6000.000000000002,14828774.623978226,-548.6093772205622,14828226.014601005,682791.4294245892,15511017.444025595,16021303.761798138,168614.17263696858,1738094.2185754941,129764.30128619538,9.902123565552756e-11,2.9103830456733704e-10,0,172.5052615000168
S12,334,2025-02-01,2025-12-31,6000.0,6000.0,14828707.662519606,-63085.43401020663,14765622.228509398,760838.6652050724,15526460.89371447,15919108.279380042,188875.41115164667,1789628.7011787302,130832.33947565361,9.822542779147625e-11,2.9103830456733704e-10,0,149.4236826999986
S18,334,2025-02-01,2025-12-31,6000.0,6000.0,14828924.616398958,16014.415293261132,14844939.03169222,908090.3612468144,15753029.392939035,15772213.350566944,227961.93809786817,1951448.7735102745,132703.50520671246,9.902123565552756e-11,3.4924596548080444e-10,0,126.31546959999832
S6_12,334,2025-02-01,2025-12-31,6000.0,6000.000000000004,14828706.289770406,-112459.08183859359,14716247.207931813,641790.5953273538,15358037.803259166,15957058.302426578,159269.24430626273,1630353.4071079618,131450.32317102925,9.822542779147625e-11,2.9103830456733704e-10,0,219.95626379997702
Sall,334,2025-02-01,2025-12-31,6000.0,6000.000000000001,14828979.784428285,-112147.61888452778,14716832.165543757,638458.4809415564,15355290.646485314,15958517.727546668,159068.01863773874,1631135.1596644379,131082.37057629402,9.902123565552756e-11,3.4924596548080444e-10,0,234.76938910002355
