day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,emergency_kwh,load_kwh,pv_kwh,pv_used_kwh,curtail_kwh,unextracted_kwh,spill_kwh,plan_total_kwh,charge_kwh,discharge_kwh,final_soc,price_mean,eq_residual,ub_violation
31,2025-02-01,6000.0000000000055,21472.33239001501,26073.914303847305,20438.52005343579,499.56250496183054,20938.082558397622,0.001669803913025752,0.09926641678364347,0.10938445939176061,0,127.4147320361472,76305.20628333333,41927.03035,37340.864801263306,4586.16554873669,4842.731826792042,1023.2212385895624,48785.19829467642,21485.88673295229,17403.568253691352,6000.000000000009,0.6514930555555556,2.6147972675971687e-12,7.275957614183426e-12
32,2025-02-02,6000.000000000009,65760.44126524635,70500.99171562314,63775.3171537439,974.2980581242855,64749.615211868186,0.0018317807576259029,0.06427916646099827,0.041699293607356115,0,222.93865878841441,121705.97265,43349.69469999999,41542.043052915455,1807.651647084549,5840.064565458168,345.3701805820059,90854.70280641642,24885.669063579557,20157.391941499438,6000.000000000011,0.8363881944444445,1.1368683772161603e-12,8.731149137020111e-11
33,2025-02-03,6000.000000000011,74177.68927792474,187954.49653040443,69119.14837300652,9.614295624506068,69128.76266863103,1.2061465635550662e-05,0.09361041509283824,0.05346742275672762,0,1.4787811465824916,122603.769,42386.85249999999,40120.53673805544,2266.3157619445565,9045.30945574286,435.29272740340866,96627.16960257215,24551.65230856792,19886.838369940015,6000.000000000013,0.8447902777777778,9.094947017729282e-13,1.0186340659856796e-10
34,2025-02-04,6000.000000000013,62433.41883638734,65042.29137253248,63689.175713697165,3863.964659124753,67553.14037282192,0.007377928364482781,0.042533861115093094,0.006751481176610813,0,896.9945040053062,121578.09884999998,40383.2349,40110.58824972199,272.6466502780029,3801.9930396630016,348.4518999389144,89387.44191069614,24560.425656955485,19893.944782133945,6000.000000000016,0.8491895833333333,2.2737367544323206e-12,7.275957614183426e-12
35,2025-02-05,6000.000000000016,66142.70807131138,68145.42783856366,67096.11710102604,1125.9505357804987,68222.06763680655,0.0025488130228546527,0.06017174137903369,0.05034786675361163,0,310.9324646758415,121991.08443333334,41242.65745,39166.177628142555,2076.479821857448,5605.0640211350055,177.77430045807841,93151.10204020189,25548.891463651966,20694.6020855581,6000.000000000018,0.8482541666666665,1.2050804798491299e-11,1.4551915228366852e-11
36,2025-02-06,6000.000000000018,64500.087480000184,66956.94163887227,64529.82413150802,1082.0105359137128,65611.83466742173,0.001843788215093603,0.04456673862399605,0.03601450815247976,0,225.40709685596573,122252.1627,41981.10548333333,40469.176617653706,1511.9288656796211,4038.7436109095133,394.1913202651267,90622.3729984795,24378.205693760774,19746.346611946225,6000.00000000002,0.8439645833333334,2.7284841053187847e-12,7.275957614183426e-11
37,2025-02-07,6000.00000000002,26396.334886595898,29436.693637140233,19169.410344477114,260.11893126582095,19429.529275742934,0.0010141438881422797,0.08596626754410587,0.10963057978293703,0,77.24591704831278,76168.59693333332,44362.91726666666,39499.38492585953,4863.5323408071345,3867.648596762225,776.3924277478345,44990.30500280693,19759.46256774408,16005.164679872709,6000.000000000019,0.6440388888888888,6.821210263296962e-13,0.0
38,2025-02-08,6000.000000000019,17209.328256670724,20238.92289462743,16816.90444258588,1621.4802429719932,18438.384685557874,0.006970993543337682,0.038390559552054025,0.07407771272109744,0,528.0303667072546,75746.78751666666,44169.6248,40897.64002306694,3271.9847769330604,1550.338552894088,569.6350551078895,40383.32785412969,20748.616417027595,16806.37929779235,6000.000000000016,0.642351388888889,1.8189894035458565e-12,1.0913936421275139e-11
39,2025-02-09,6000.000000000016,58601.13753767436,63056.83493343273,61223.982108986434,3128.5628857182323,64352.544994704665,0.006164619171620929,0.03172713432900624,0.028053953777051905,0,749.2965365974052,121547.90356666666,41992.48759999999,40814.43229388617,1178.055306113825,2771.8195054507137,70.65820218988245,87364.31966112374,23882.45903842141,19344.79182112134,6000.000000000016,0.8413840277777778,3.865352482534945e-12,7.275957614183426e-12
40,2025-02-10,6000.000000000016,61849.986425789815,75487.14028362304,59545.05076369635,972.1115248631465,60517.1622885595,0.0025235488103000263,0.06611007343666417,0.05176357037091727,0,306.5545634141788,121477.56451666665,47150.92693333333,44710.22660896575,2440.700324367578,5742.150268631173,270.0901938191911,86857.41779023071,23075.757807861206,18691.363824367574,6000.000000000023,0.8180638888888889,4.547473508864641e-13,0.0
