day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,emergency_kwh,load_kwh,pv_kwh,pv_used_kwh,curtail_kwh,unextracted_kwh,spill_kwh,plan_total_kwh,charge_kwh,discharge_kwh,final_soc,price_mean,eq_residual,ub_violation
31,2025-02-01,1200.0000000000005,22126.543613179885,25502.00117151079,20795.773682320767,368.9502017289219,21164.72388404969,0.0012963372134252179,0.1092327629637168,0.10465598555208586,0,98.91727848317277,76305.20628333333,41927.03035,37539.11566744853,4387.914682551465,5423.828178775944,993.7680918823994,49653.85871066491,24047.837382131256,19478.74827952632,1200.0,0.6514930555555556,9.094947017729282e-13,1.8189894035458565e-11
32,2025-02-02,1200.0,67151.0964967274,73687.45029263632,64787.06391658544,956.7346746454601,65743.7985912309,0.0016605019484777603,0.08337248730199869,0.03863780392723139,0,202.093004726706,121705.97265,43349.69469999999,41674.75769587606,1674.9370041239415,7698.40563217409,249.95545750717326,92337.48303907849,24000.000000000004,19440.0,1200.0,0.8363881944444445,2.2737367544323206e-13,0.0
33,2025-02-03,1200.0,80017.72682697176,167867.3511836212,69366.62050721483,56.893220689161254,69423.51372790399,0.00013069531712766558,0.10347220922444939,0.04126863594607359,0,16.023738470502053,122603.769,42386.85249999999,40637.60491527758,1749.247584722419,10002.920286200158,269.6842663566781,96672.53034582522,23419.923405349797,18970.137958333333,1200.0000000000018,0.8447902777777778,2.2737367544323206e-13,2.9103830456733704e-11
34,2025-02-04,1200.0000000000018,71100.40044535672,76726.25093890297,68954.80011033131,656.2453169361262,69611.04542726744,0.0019122226086376792,0.08091808728090237,0.05294724526418949,0,232.4843893361566,121578.09884999998,40383.2349,38245.05385718832,2138.181042811677,7770.619729218575,282.8426812211269,96030.68968058188,25666.666666666664,20790.0,1200.000000000003,0.8491895833333333,9.094947017729282e-13,0.0
35,2025-02-05,1200.000000000003,66424.42064275141,71187.3061070233,64413.77084473041,3513.1220039110776,67926.8928486415,0.006659004295406803,0.05058354053819559,0.0256529967944296,0,812.3391552429007,121991.08443333334,41242.65745,40184.65969064139,1057.997759358608,4602.306146987976,295.7697677435924,90984.2628258253,26800.53328234046,21708.43195869578,1200.0000000000023,0.8482541666666665,4.547473508864641e-13,0.0
36,2025-02-06,1200.0000000000023,72001.56869824277,76960.13163726556,69457.10469104178,552.0243147294008,70009.12900577117,0.0011537175122954453,0.10366491803473828,0.03692414680015398,0,141.04446102298203,122252.1627,41981.10548333333,40430.988981633986,1550.1165016993493,10011.959708335995,201.2629326713685,96580.01856501706,24666.666666666668,19980.000000000004,1200.0000000000005,0.8439645833333334,4.547473508864641e-13,1.4551915228366852e-11
37,2025-02-07,1200.0000000000005,21542.793273650015,23047.189780924633,20510.636161226437,150.6948075639682,20661.330968790404,0.0006199999770102734,0.11706449706026288,0.1448207741677045,0,47.22452834757144,76168.59693333332,44362.91726666666,37938.24524377017,6424.672022896491,5781.23641586384,808.0694621131418,49385.053206077966,24276.948246765227,19664.328079879837,1199.999999999999,0.6440388888888888,1.8189894035458565e-12,0.0
38,2025-02-08,1199.999999999999,16036.532002465752,16648.50558790668,15467.097439445102,3866.5586059371244,19333.656045382228,0.015235054002976632,0.030127541162988162,0.03550496217180064,0,1154.0063983684129,75746.78751666666,44169.6248,42601.38394233337,1568.2408576666273,1133.7954024631779,602.1389955311668,37633.18739917784,20557.135922203208,16651.2800969846,1200.0,0.642351388888889,9.094947017729282e-13,0.0
39,2025-02-09,1200.0,66210.11830732394,73213.14304529499,63734.89921344332,1603.8458849940876,65338.74509843741,0.0030458907966490587,0.05129497392078191,0.043302459949899896,0,370.22164082569725,121547.90356666666,41992.48759999999,40174.109587504325,1818.3780124956677,4639.95899697827,169.44909277212128,90456.40619964158,24439.08300818192,19795.657236627354,1200.0,0.8413840277777778,4.547473508864641e-13,1.4551915228366852e-11
40,2025-02-10,1200.0,60919.20878195466,65702.97991809792,58851.96011588047,913.2802936907315,59765.240409571205,0.0021433985865135017,0.06072804138133839,0.05068912367398294,0,260.374840078126,121477.56451666665,47150.92693333333,44760.88776666666,2390.0391666666665,5251.2459918664235,330.6378921216468,86471.51912724327,23333.333333333336,18900.0,1200.000000000001,0.8180638888888889,4.547473508864641e-13,0.0
41,2025-02-11,1200.000000000001,62476.951233008804,70313.13738134393,60003.68092895114,1948.7990816075271,61952.48001055866,0.0029989370516687345,0.06906454752475931,0.03624447256726198,0,364.19475904235884,121441.28161666667,46220.68448333333,44545.44015253708,1675.2443307962465,6036.198110010304,189.37930777161364,87399.3724181912,24432.359449063457,19790.211153741402,1200.0000000000032,0.8284923611111111,9.094947017729282e-13,0.0
42,2025-02-12,1200.0000000000032,61825.8745552588,68228.83334392261,59987.09279879911,2152.5095501039677,62139.60234890308,0.003891315687140458,0.06604003542326072,0.05262365823018102,0,472.2650645767217,121363.85288333334,46097.116749999994,43671.31783275124,2425.7989172487523,5804.61480674678,152.17395758186376,87895.39208366734,24833.33333333333,20115.0,1200.0000000000025,0.8264243055555556,9.094947017729282e-13,0.0
43,2025-02-13,1200.0000000000025,58375.70816415681,62490.66476154104,56253.93495254079,1187.0715003626544,57441.00645290344,0.0028453163693813875,0.06672050220505646,0.05474326166652838,0,345.166136033332,121310.28371666666,49980.80469999999,47244.692430004245,2736.1122699957514,5627.817981437944,226.528790763261,84349.15498899581,25128.331927186955,20353.948861021432,1200.0000000000018,0.8147909722222221,9.094947017729282e-13,1.4551915228366852e-11
44,2025-02-14,1200.0000000000018,17474.46280915678,20095.479011459494,16415.97509916844,1774.6986551328453,18190.673754301286,0.0073316936044186065,0.03871518905777635,0.10927594964571402,0,556.2749344083834,75872.63794999999,46070.83613333333,41036.401763891256,5034.434369442075,1574.5648659324022,645.8232182316027,40670.468212943786,21947.994089891712,17777.875212812287,1200.000000000001,0.6311,1.8189894035458565e-12,7.275957614183426e-12
45,2025-02-15,1200.000000000001,17961.519096582524,19606.430514754167,17041.457187109543,2122.5337973021587,19163.990984411703,0.006812137003113084,0.059049035453574115,0.1061786287116591,0,518.0940296374224,76054.55225,46774.46115,41808.01300636622,4966.448143633774,2375.9542893155754,407.95341619658217,40236.97035972099,19603.249685328825,15878.632245116352,1200.0,0.6378472222222222,1.8189894035458565e-12,0.0
46,2025-02-16,1200.0,62699.851494950926,67883.30060852127,60409.17461454055,2321.7892533757745,62730.963867916325,0.005158814914313781,0.06311231677678165,0.05976963230009219,0,625.6454791721535,121276.97728333331,45899.59818333333,43156.19607719352,2743.4021061398125,5569.806902326469,152.35401869615816,88252.29664799028,26500.000000000004,21465.0,1200.0000000000014,0.8303222222222222,1.8189894035458565e-12,4.3655745685100555e-11
