date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,S0,6000.0,6000.000000000002,53989.05400358685,53989.05400358685,46753.866853403444,9.802292784443637,6708.3222354124955,1337.027301892412,22842.86145026121,18502.717774711593,23389.068776211054,0.0,23389.068776211054,39.84141902237116,23428.910195233424,23428.91019523342,9.094947017729282e-13,1.7141843500212417e-12,0,1.8189894035458565e-12
2025-02-02,S0,6000.000000000002,6000.000000000002,133229.74792658852,133229.74792658846,90660.34173697747,3.545119884901851,5890.1124735290205,1224.1631000000002,27333.333333333325,22139.999999999996,103564.93863353497,1.4551915228366852e-11,103564.93863353498,7.857758224884953,103572.79639175987,103572.79639175987,2.2737367544323206e-13,1.546140993013978e-11,0,0.0
2025-02-03,S0,6000.000000000002,6000.000000000002,136091.9189685234,136091.91896852336,92312.46493333335,0.0,5923.674683333334,1136.8737500000007,26499.999999999993,21465.0,107419.79403362416,1.4551915228366852e-11,107419.79403362417,0.0,107419.79403362417,107419.79403362417,2.2737367544323206e-13,2.9103830456733704e-11,0,0.0
2025-02-04,S0,6000.000000000002,6000.000000000002,99679.90295022122,99679.9029502212,87959.96309058365,156.36882388665867,1668.610402939271,468.4986323589608,25180.83646932662,20396.477540154567,73199.54457949405,0.0,73199.54457949405,424.53896044546,73624.0835399395,73624.0835399395,2.2737367544323206e-13,3.4924596548080444e-10,0,0.0
2025-02-05,S0,6000.000000000002,6000.000000000003,91046.3886283325,91046.38862833251,86763.24560176981,756.0418172265743,1635.2828933420353,184.875238713126,26056.32791372574,21105.625610117862,64809.7729369701,7.275957614183426e-12,64809.772936970105,3230.5731502734334,68040.34608724354,68040.34608724352,9.094947017729282e-13,4.001776687800884e-11,0,9.094947017729282e-13
2025-02-06,S0,6000.000000000003,6000.000000000003,97007.1826378144,97007.18263781446,86951.15352223524,122.47472070889266,1648.3459526842876,435.89174025985346,24833.333333333325,20115.0,70148.43261512968,-1.4551915228366852e-11,70148.43261512967,517.8549065212873,70666.28752165096,70666.28752165096,9.094947017729282e-13,2.6801935670839327e-11,0,0.0
2025-02-07,S0,6000.000000000003,6000.000000000003,49419.25492406827,49419.25492406825,43054.76470571495,23.514734945149662,6514.670090462418,730.0875627337043,21199.169056827966,17171.326936030655,20887.15354864004,0.0,20887.15354864004,71.53743358759633,20958.690982227636,20958.690982227636,2.2737367544323206e-13,1.511324398961733e-11,0,0.0
2025-02-08,S0,6000.000000000003,6000.000000000003,37670.008157504606,37670.00815750459,36504.803201018585,1396.6573837278079,1837.5345432291604,433.42999151723836,21333.333333333332,17280.000000000007,15590.664251540646,0.0,15590.664251540646,4488.085733914625,20078.74998545527,20078.74998545527,9.094947017729282e-13,5.3930193644191604e-12,0,0.0
2025-02-09,S0,6000.000000000003,6000.000000000003,91308.22632239186,91308.22632239189,86195.72235409933,198.58020845073054,2148.428523470348,130.45807241307728,23999.999999999993,19440.000000000007,64853.55774670615,0.0,64853.55774670615,876.2683492751152,65729.82609598126,65729.82609598126,2.2737367544323206e-13,8.483880264975596e-12,0,0.0
2025-02-10,S0,6000.000000000003,6000.0000000000055,87809.26820045499,87809.268200455,81896.28185345144,198.25377399246963,2920.2332212781544,351.97691720005685,23661.515292802018,19165.827387169636,60408.6671545745,1.4551915228366852e-11,60408.66715457451,727.3633008734878,61136.030455448,61136.030455447995,2.2737367544323206e-13,1.873168287147564e-12,0,2.7284841053187847e-12
2025-02-11,S0,6000.0000000000055,6000.000000000006,88699.20524298574,88699.20524298574,81636.7436162994,292.2247063038969,1942.908966286494,152.7664710325381,24277.346062899775,19664.650310948822,61590.4290539721,7.275957614183426e-12,61590.429053972104,1402.4952795517386,62992.92433352384,62992.92433352384,9.094947017729282e-13,6.912159733474255e-11,0,9.094947017729282e-13
2025-02-12,S0,6000.000000000006,6000.000000000006,87937.32105461726,87937.3210546173,81300.23732512126,353.9913014386327,1716.0533812991443,269.7724452607739,23166.66666666666,18765.000000000004,60756.55917734413,-7.275957614183426e-12,60756.55917734412,1611.2518518899765,62367.81102923409,62367.81102923409,1.3642420526593924e-12,7.035083626760752e-11,0,0.0
2025-02-13,S0,6000.000000000006,6000.00000000001,84540.82362226344,84540.82362226346,79201.47203473147,382.5777871082165,3383.0470594204476,316.3936721982144,23974.368808180712,19419.238734626386,56867.13218943368,1.4551915228366852e-11,56867.132189433694,1318.7891350068226,58185.92132444052,58185.92132444051,2.5011104298755527e-12,2.020428269133845e-11,0,3.637978807091713e-12
2025-02-14,S0,6000.00000000001,6000.00000000001,41439.09804122791,41439.09804122791,39472.82944786673,383.4150151918328,5799.343479813817,409.0339735313732,20242.448384456256,16396.38319140957,16861.011522855108,0.0,16861.011522855108,1155.1855353282417,18016.19705818335,18016.19705818335,9.094947017729282e-13,9.123035660252299e-12,0,0.0
2025-02-15,S0,6000.00000000001,6000.0000000000155,42025.271857954765,42025.271857954795,39217.27028587316,520.9318007321934,5577.867417493338,565.2347898929693,22710.572522205424,18395.5637429864,18029.139206014865,0.0,18029.139206014865,2009.0617802431402,20038.200986258005,20038.200986258005,5.002220859751105e-12,7.275957614183426e-12,0,5.4569682106375694e-12
2025-02-16,S0,6000.0000000000155,6000.0000000000155,89532.7228394095,89532.72283940949,82295.13519471313,586.8570996974319,2348.601183499841,184.3453442440832,26166.666666666642,21194.99999999999,61917.971740308276,7.275957614183426e-12,61917.97174030828,2255.4067686038743,64173.37850891216,64173.37850891215,1.8189894035458565e-12,0.0,0,0.0
2025-02-17,S0,6000.0000000000155,6000.000000000018,90933.54497552742,90933.54497552742,80192.51500289793,95.34005415575514,4367.784080391588,190.04307369699006,23927.1828226232,19381.01808632479,62275.07250644538,0.0,62275.07250644538,414.8199099952483,62689.89241644063,62689.89241644063,4.547473508864641e-13,4.231992534187157e-11,0,2.7284841053187847e-12
2025-02-18,S0,6000.000000000018,6000.000000000018,80130.39874077159,80130.3987407716,76620.56066786173,921.1353036171527,1033.0570683358087,172.12675810168275,22342.759798463438,18097.635436755383,53389.1120470918,7.275957614183426e-12,53389.11204709181,3797.4144898921686,57186.526536983976,57186.52653698397,9.094947017729282e-13,2.6158186727798238e-11,0,0.0
2025-02-19,S0,6000.000000000018,6000.000000000021,81260.05307067481,81260.05307067481,78315.52272634991,523.9109828849748,1360.4519706469832,166.37845822976317,23333.031036972494,18899.755139947723,54243.85811212261,0.0,54243.85811212261,2261.644910900207,56505.503023022815,56505.50302302281,9.094947017729282e-13,2.5920599000528455e-11,0,2.7284841053187847e-12
2025-02-20,S0,6000.000000000021,6000.000000000021,84063.51807205018,84063.51807205017,77684.14365213427,239.39785806288887,2226.7469118205427,301.9941983766155,23166.666666666664,18765.000000000007,56483.98593808897,0.0,56483.98593808897,1230.5998272501547,57714.58576533912,57714.585765339114,9.094947017729282e-13,3.4926728176287725e-11,0,0.0
2025-02-21,S0,6000.000000000021,6000.000000000023,38737.8599235278,38737.8599235278,37175.729056621225,275.07782090982664,7351.271481071153,833.7098060138073,19502.966090067213,15797.402532954447,16238.498533940754,3.637978807091713e-12,16238.498533940758,732.8264343340379,16971.324968274796,16971.324968274792,4.547473508864641e-13,1.3343992577574681e-11,0,1.8189894035458565e-12
2025-02-22,S0,6000.000000000023,6000.000000000025,39026.670657327326,39026.670657327326,36806.3809248139,320.91371271388175,4755.7270061224135,598.0939753201027,20677.425119746946,16748.714346995024,16451.240929166073,0.0,16451.240929166073,1024.2222326612227,17475.463161827298,17475.46316182729,1.2505552149377763e-12,6.821210263296962e-12,0,1.8189894035458565e-12
2025-02-23,S0,6000.000000000025,6000.000000000026,83083.10220705233,83083.10220705232,77625.42150314891,379.2153238806136,2019.5658286959213,186.08839474595243,22458.57326449646,18191.444344242136,55742.25403876337,7.275957614183426e-12,55742.25403876338,1616.7948471929806,57359.048885956356,57359.048885956356,9.094947017729282e-13,2.5659474545136618e-11,0,1.8189894035458565e-12
2025-02-24,S0,6000.000000000026,6000.000000000027,78768.2477283485,78768.24772834852,74421.19425105244,831.7684915025543,2358.8623284936857,283.23735577846014,23199.102324295745,18791.27288267956,52612.972327561496,7.275957614183426e-12,52612.9723275615,3095.340172241855,55708.31249980336,55708.31249980335,4.547473508864641e-13,1.9099388737231493e-11,0,9.094947017729282e-13
2025-02-25,S0,6000.000000000027,6000.000000000027,81230.03662321626,81230.03662321629,75355.9958657963,220.74080583464797,4954.812801040544,205.68891562875353,24183.745903306863,19588.834181678558,53099.85754274952,0.0,53099.85754274952,761.7631428015419,53861.62068555107,53861.62068555107,2.2737367544323206e-13,0.0,0,0.0
2025-02-26,S0,6000.000000000027,6000.000000000031,75924.07877674386,75924.07877674386,73447.59714549455,877.3417320406214,1036.2945162818366,199.10025128842517,22498.400403324096,18223.704326692517,49475.76647877628,-7.275957614183426e-12,49475.76647877627,3642.207186658888,53117.97366543516,53117.97366543516,4.547473508864641e-13,5.843592276733034e-11,0,3.637978807091713e-12
2025-02-27,S0,6000.000000000031,6000.0000000000355,76509.32672844926,76509.32672844928,72156.97933917714,300.41710497712785,984.8081010818119,160.3134425791311,22924.687897333235,18568.997196839915,48849.12077092202,0.0,48849.12077092202,1529.576526399352,50378.69729732137,50378.69729732136,9.094947017729282e-13,0.0,0,4.547473508864641e-12
2025-02-28,S0,6000.0000000000355,6000.000000000039,35548.15925381309,35548.15925381308,33785.01724523308,327.5328326229052,6936.086458049372,513.6127541431385,17738.196398228818,14367.939082565339,14677.353453161992,1.8189894035458565e-12,14677.353453161993,985.7500005258207,15663.103453687814,15663.103453687812,9.094947017729282e-13,5.044853423896711e-13,0,3.637978807091713e-12
2025-03-01,S0,6000.000000000039,6000.00000000004,42861.212591915784,42861.21259191579,37695.336114904174,35.65154674054105,9740.16621305522,741.1226651066199,18899.646579734483,15308.713729584926,17247.02842377918,0.0,17247.02842377918,101.46947161496445,17348.497895394143,17348.49789539414,1.1368683772161603e-12,2.6769697569761775e-12,0,9.094947017729282e-13
2025-03-02,S0,6000.00000000004,6000.00000000004,82612.61283266044,82612.61283266042,77492.85878800925,747.4817396603956,1022.0256902498197,141.67443741981924,24833.33333333333,20115.0,54851.30344704152,-7.275957614183426e-12,54851.303447041515,3568.2029814180223,58419.506428459536,58419.506428459536,9.094947017729282e-13,4.7624126864320715e-12,0,0.0
2025-03-03,S0,6000.00000000004,6000.00000000004,84899.69021032954,84899.69021032954,77817.57861688852,823.0306947091678,1947.367795184481,223.1597559572864,23436.500669066183,18983.56554194361,56783.8723164511,1.4551915228366852e-11,56783.87231645112,3604.42286824956,60388.29518470068,60388.29518470067,9.094947017729282e-13,1.1823431123048067e-11,0,0.0
2025-03-04,S0,6000.00000000004,6000.000000000044,75073.67829532488,75073.67829532488,72601.42601843078,1952.8834119319065,815.2795065337166,305.4648110783803,22284.77462851167,18050.667449094457,48989.02075342856,-7.275957614183426e-12,48989.02075342855,7249.454136217847,56238.4748896464,56238.4748896464,9.094947017729282e-13,2.4556356947869062e-11,0,3.637978807091713e-12
2025-03-05,S0,6000.000000000044,6000.000000000047,77811.80346162917,77811.80346162914,72904.69408895787,191.4091340366644,2248.755808777595,308.32927219122644,23202.874343994983,18794.32821863594,49914.54179240078,7.275957614183426e-12,49914.541792400785,746.6020837325343,50661.14387613332,50661.14387613332,9.094947017729282e-13,3.183231456205249e-12,0,3.637978807091713e-12
2025-03-06,S0,6000.000000000047,6000.000000000051,74018.37436981649,74018.37436981649,71469.16089890906,618.9363187221375,1237.9103889215778,373.5237106207369,23873.731498713456,19337.722513957906,47271.74037507115,0.0,47271.74037507115,2714.8864165654495,49986.626791636605,49986.626791636605,9.094947017729282e-13,7.275957614183426e-12,0,3.637978807091713e-12
2025-03-07,S0,6000.000000000051,6000.000000000054,37210.81938729646,37210.81938729646,34055.38914911401,48.21038783043144,9043.023384658312,815.650078907127,17487.58178971404,14164.94124966837,15420.019879838364,0.0,15420.019879838364,79.8720235349165,15499.891903373282,15499.891903373282,1.3642420526593924e-12,4.46931380793103e-12,0,2.7284841053187847e-12
2025-03-08,S0,6000.000000000054,6000.00000000006,31613.080942751098,31613.080942751094,30788.760028007353,1342.0308046232128,9410.664200829162,472.0956189381891,16762.586822087094,13577.69532589054,13072.379833402745,-1.8189894035458565e-12,13072.379833402743,4161.040083462303,17233.419916865045,17233.419916865045,4.547473508864641e-12,3.1867841698840493e-12,0,6.366462912410498e-12
2025-03-09,S0,6000.00000000006,6000.00000000006,77658.51835703262,77658.51835703263,72072.1100765825,821.0684214568449,4293.0064608964685,346.70757617729737,25894.41795245029,20974.478541484736,48887.00355154753,0.0,48887.00355154753,3884.8994684514737,52771.90301999901,52771.90301999901,9.094947017729282e-13,2.41229258790554e-12,0,0.0
2025-03-10,S0,6000.00000000006,6000.000000000061,74354.81918048226,74354.81918048226,72092.90145775526,1494.1010884509192,1108.165633056317,291.1064129687293,21819.2581588481,17673.59910866696,48290.17090011513,0.0,48290.17090011513,6657.4031235234115,54947.574023638546,54947.57402363854,2.2737367544323206e-13,1.127942184098174e-11,0,9.094947017729282e-13
2025-03-11,S0,6000.000000000061,6000.000000000062,66976.179978195,66976.179978195,64949.398506195386,3779.1284601950097,222.16118876668736,377.84275739083455,22050.548527541458,17860.944307308582,42226.86900645381,0.0,42226.86900645381,15148.55923986523,57375.42824631904,57375.42824631903,4.547473508864641e-13,5.25020027453138e-11,0,9.094947017729282e-13
2025-03-12,S0,6000.000000000062,6000.000000000063,74726.29839672783,74726.29839672781,69924.79354044577,330.78746944285,3271.4151939101075,217.41699149171222,22795.863900807723,18464.64975965426,47024.68007172969,7.275957614183426e-12,47024.680071729694,1143.51364916452,48168.19372089421,48168.1937208942,9.094947017729282e-13,5.4569682106375694e-12,0,9.094947017729282e-13
2025-03-13,S0,6000.000000000063,6000.000000000066,77289.01219805717,77289.01219805716,73608.04716058112,894.9013350958285,2472.086420174605,182.72805475664995,22644.821074100135,18342.305070021113,50101.3214464972,7.275957614183426e-12,50101.321446497204,3994.9974396254515,54096.31888612266,54096.31888612265,9.094947017729282e-13,4.490630090003833e-12,0,3.637978807091713e-12
2025-03-14,S0,6000.000000000066,6000.000000000066,33477.611281196805,33477.61128119681,31337.338386918527,121.42340655689446,11701.113475939246,580.5753150547938,16566.563258673985,13418.916239525926,13647.030580994775,0.0,13647.030580994775,387.27395897545335,14034.304539970228,14034.304539970226,9.094947017729282e-13,5.220712750997336e-12,0,0.0
2025-03-15,S0,6000.000000000066,6000.000000000068,32283.847909807933,32283.847909807937,31148.17486643582,447.01478513021976,7078.197166291543,440.8580593273882,16589.522504984732,13437.51322903763,13334.901297399958,0.0,13334.901297399958,1208.0649694627346,14542.966266862692,14542.966266862692,1.8189894035458565e-12,4.547473508864641e-13,0,1.8189894035458565e-12
2025-03-16,S0,6000.000000000068,6000.000000000069,72972.23355693466,72972.23355693468,69542.9199266204,1135.7477083388947,2239.88618276901,401.06785219022095,24666.666666666657,19979.999999999993,46271.90874040417,7.275957614183426e-12,46271.90874040418,4858.381583979082,51130.29032438326,51130.290324383255,4.547473508864641e-13,1.0931344718301261e-10,0,9.094947017729282e-13
2025-03-17,S0,6000.000000000069,6000.00000000007,70261.85303030736,70261.85303030738,65135.96581455205,866.5989256058405,3709.2198908193136,319.7323047391327,21660.426901400504,17544.945790134414,42368.293576763666,0.0,42368.293576763666,3975.2884392887136,46343.58201605238,46343.58201605238,4.547473508864641e-13,1.8330226225771185e-11,0,9.094947017729282e-13
2025-03-18,S0,6000.00000000007,6000.00000000007,78723.62445107587,78723.62445107587,71458.06342837917,150.2644500668738,5685.781417512762,267.8460813178215,23835.484278678043,19306.74226572922,49780.24654224492,0.0,49780.24654224492,470.36230524329363,50250.60884748821,50250.608847488205,1.8758328224066645e-12,2.000888343900442e-11,0,0.0
2025-03-19,S0,6000.00000000007,6000.000000000072,66679.83785748426,66679.83785748425,64263.00033257602,883.430631593827,1100.3495051446953,398.9636820439041,22008.67014200659,17827.02281502534,41150.29629639878,7.275957614183426e-12,41150.29629639879,3531.0288081703507,44681.325104569136,44681.325104569136,2.2737367544323206e-13,1.623767786895769e-11,0,1.8189894035458565e-12
2025-03-20,S0,6000.000000000072,6000.000000000072,73322.95642707219,73322.95642707216,67945.10607101183,1221.2873713139795,2222.4506530918547,364.98097256730205,22999.999999999993,18629.999999999993,46177.99932545508,7.275957614183426e-12,46177.99932545509,5123.71038508921,51301.709710544295,51301.709710544295,4.547473508864641e-13,2.000888343900442e-11,0,0.0
2025-03-21,S0,6000.000000000072,6000.000000000073,30985.306617911574,30985.30661791157,29550.710176559485,509.50543123064045,14521.22845293912,465.52263818433283,16000.000000000082,12960.000000000064,12413.439420087669,0.0,12413.439420087669,1239.0529285775167,13652.492348665186,13652.492348665184,4.547473508864641e-13,5.115907697472721e-12,0,9.094947017729282e-13
2025-03-22,S0,6000.000000000073,6000.000000000077,33387.90849541365,33387.90849541364,31287.813261940886,100.98975368595035,11008.500370215774,796.5277191051646,19487.237857750322,15784.662664777765,13758.560061636697,1.8189894035458565e-12,13758.5600616367,174.7394120454248,13933.299473682124,13933.299473682122,1.8189894035458565e-12,3.723243935382925e-12,0,4.547473508864641e-12
2025-03-23,S0,6000.000000000077,6000.000000000081,74712.24563075448,74712.24563075449,69088.06935769664,246.76890070023023,5601.3415356036485,222.63933504925592,24953.354058301717,20212.2167872244,46233.15360453095,0.0,46233.15360453095,875.5550968757999,47108.70870140675,47108.70870140675,9.094947017729282e-13,3.922195901395753e-12,0,3.637978807091713e-12
2025-03-24,S0,6000.000000000081,6000.000000000082,69546.16678689848,69546.16678689848,66051.83202174905,223.96238861410842,3719.9478751013994,333.3206733933787,22231.730413342295,18007.701634807272,42688.90525459615,7.275957614183426e-12,42688.90525459616,829.1123011082208,43518.017555704384,43518.017555704384,4.547473508864641e-13,5.841371830683784e-11,0,9.094947017729282e-13
2025-03-25,S0,6000.000000000082,6000.000000000082,76903.9208398194,76903.92083981937,70500.10608138509,476.1884575351405,5315.720518290242,150.44930396329232,23999.999999999993,19439.999999999996,47733.31417581499,7.275957614183426e-12,47733.314175814994,1438.2038573175923,49171.51803313258,49171.51803313258,2.2737367544323206e-13,4.547473508864641e-12,0,0.0
2025-03-26,S0,6000.000000000082,6000.000000000086,67979.92037960648,67979.9203796065,63453.067734403936,438.0629506810146,3716.8666880433357,342.92128180545785,22309.409729313167,18070.621880743663,41443.30435062654,0.0,41443.30435062654,1663.3486177084214,43106.65296833496,43106.65296833496,4.547473508864641e-13,7.275957614183426e-12,0,4.547473508864641e-12
