date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-02-01,0,Sall,0.0,33195.36553002063,80642.57386566818,42688.77507127642,6000.0,6000.0,6,32
2025-02-01,6,Sall,1237.7631238760764,26491.156910562077,99966.97278069059,41238.531317490335,10134.600113339688,6000.0,36,0
2025-02-01,12,Sall,3219.4978224769284,15270.996405466374,15518.877445586462,15322.446346474837,6636.9892944612,6000.0,18,0
2025-02-01,18,Sall,9.591325830170547,9179.354302769723,20110.437387020756,11391.20525326035,10249.508151749662,6000.0,0,0
2025-02-02,0,Sall,0.0,73355.46430443437,162509.50885598687,91190.9188814114,5954.317617772974,5954.317617772974,0,0
2025-02-02,6,Sall,3.557176543001461,58603.223775314815,136236.9379637147,74149.47924108886,10800.0,5954.317617772974,0,0
2025-02-02,12,Sall,3.5571765429946254,42216.88643801071,90919.29163455179,51959.90526540607,6615.946500432392,5954.317617772974,0,0
2025-02-02,18,Sall,2.2737367544323206e-12,16235.435586244119,26733.75264073637,18336.501639319897,10800.0,5954.317617772974,0,0
2025-02-03,0,Sall,0.0,75944.1257653385,162594.21514996077,93278.8340373011,5954.317617772972,5954.317617772972,0,12
2025-02-03,6,Sall,9085.724110562775,49310.46112867784,49795.077941300086,49411.342578617645,10800.0,5954.317617772972,0,12
2025-02-03,12,Sall,5220.477296102887,43643.222187737476,87586.34987007803,52434.420155864515,6553.0293529227,5954.317617772972,0,0
2025-02-03,18,Sall,32.874961735114084,16528.184037172094,26747.168356338872,18573.374683986283,10787.182377234103,5954.317617772972,0,0
2025-02-04,0,Sall,0.0,69528.35583515905,118949.07908628637,79417.14615205115,5954.317617772969,5954.317617772969,0,46
2025-02-04,6,Sall,18.052763785406544,59347.46209802867,141160.29302778692,75759.20586658792,10800.0,5954.317617772969,0,16
2025-02-04,12,Sall,5588.7988414946285,36197.545915797586,36616.23063056528,36283.66727580267,6449.999999999999,5954.317617772969,0,0
2025-02-04,18,Sall,2.394364262456122,15958.749094649733,27071.414387759287,18193.667178325937,10800.0,5954.317617772969,0,0
2025-02-05,0,Sall,0.0,58697.122480830076,61643.5245773042,59290.93011007684,5933.6498823334805,5933.6498823334805,0,8
2025-02-05,6,Sall,339.7383129095491,45287.11467457733,46492.39022185991,45532.113595466755,10800.0,5933.6498823334805,0,3
2025-02-05,12,Sall,1069.6452121276234,33571.257072261105,34305.51811934392,33738.42316391182,5901.357553141711,5933.6498823334805,0,0
2025-02-05,18,Sall,7.867286091657093,14474.849879225849,14903.772655212204,14562.03004881514,10793.747316653544,5933.6498823334805,0,0
2025-02-06,0,Sall,0.0,63404.16140753289,65913.7942231935,63910.73363733162,5933.6498823334805,5933.6498823334805,0,33
2025-02-06,6,Sall,5219.502173493576,47382.6116330451,47827.38766135276,47496.21046896664,10800.0,5933.6498823334805,0,0
2025-02-06,12,Sall,2010.1435414514594,35312.32781984474,35912.81444923203,35459.23863627646,6450.000000000003,5933.6498823334805,0,0
2025-02-06,18,Sall,2.5195706379049057,14699.402328814875,15159.577163823153,14799.392865955488,10785.550925925925,5933.6498823334805,0,0
2025-02-07,0,Sall,0.0,26992.027719083704,27951.758979066562,27187.84600381427,5921.302093720137,5921.302093720137,18,6
2025-02-07,6,Sall,2536.948527010602,15729.274964227117,16054.606439710318,15797.573313866402,10188.920510276414,5921.302093720137,18,12
2025-02-07,12,Sall,2532.7519467750776,13902.344906428298,14398.640586802327,14009.199911034106,5433.220941023278,5921.302093720137,6,0
2025-02-07,18,Sall,6.140041666667003,7519.1476922765,7853.9186794866555,7587.547287762791,10274.89061626756,5921.302093720137,0,0
2025-02-08,0,Sall,0.0,20407.998744822202,21992.71221674898,20728.377616325164,5921.1135109952165,5921.1135109952165,23,0
2025-02-08,6,Sall,293.16731781619825,12445.596983527283,13623.707294674417,12694.270015481568,7511.720028549488,5921.1135109952165,16,0
2025-02-08,12,Sall,135.9057323153978,12002.902391661699,12889.59259266563,12218.251517059367,6565.311551560033,5921.1135109952165,6,0
2025-02-08,18,Sall,29.7174272114396,7547.308481848113,7883.311548752254,7667.035549179626,10148.288350069566,5921.1135109952165,0,0
2025-02-09,0,Sall,0.0,59212.69138988653,61985.310651662745,59771.7100755751,5824.824452718977,5824.824452718977,0,0
