conversion,issue_hour,days,future_slots_per_day,MAE_kwh_per_slot,WAPE,bias_kwh_per_slot
linear_endpoint,0,30,144,21.65491284207819,0.08155267529064614,-0.0937672993827168
linear_endpoint,6,30,108,18.735349734224965,0.052918198411911,-4.36972799382716
linear_endpoint,12,30,72,8.009575168467078,0.030825459273780293,-0.5565206288580244
linear_endpoint,18,30,36,0.0005347376543209877,1.0,-0.0005347376543209877
step,0,30,144,43.067607646604934,0.1621931543923708,-0.09376729938271616
step,6,30,108,53.68012583333333,0.1516200972985036,-4.369727993827162
step,12,30,72,37.615358557098766,0.14476556857039966,-35.906904020061724
step,18,30,36,0.0005347376543209877,1.0,-0.0005347376543209877
