strategy,report_days,report_start,report_end,initial_soc_kwh,final_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan_for_same_policy,emergency_kwh,curtail_kwh,spill_kwh,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,elapsed_seconds
S0,334,2025-02-01,2025-12-31,6000.0,6000.000000000003,14055287.819257291,8.62200977280736e-10,14055287.819257293,806097.9970646327,14861385.816321924,14861385.816321924,214020.65139823008,2014105.1782760082,129787.40939464964,7.23332505003782e-12,2.0372681319713593e-10,0,81.69809109999915
S6,334,2025-02-01,2025-12-31,6000.0,6000.000000000004,14059776.195406143,5024.996050085538,14064801.191456228,621298.6160042728,14686099.8074605,15145069.268777724,163570.06583884437,1793549.6774157246,122583.33560573899,7.275957614183426e-12,2.1443646858188004e-10,0,135.14750930000446
S12,334,2025-02-01,2025-12-31,6000.0,6000.0,14063502.640926315,-83309.2497241636,13980193.39120215,675542.4298339026,14655735.821036054,15054245.96808479,178625.59781484894,1822617.3538156245,122345.20314295654,6.821210263296962e-12,2.0372681319713593e-10,0,106.67216890001146
S18,334,2025-02-01,2025-12-31,6000.0,6000.0,14063336.963616043,18562.95440499209,14081899.918021036,794007.8521796559,14875907.770200692,14886932.17512591,211753.9449265744,2007694.205246112,124623.11711552135,7.275957614183426e-12,2.0372681319713593e-10,0,90.8366137999983
S6_12,334,2025-02-01,2025-12-31,6000.0,6000.0,14063552.277548768,-128128.22309649883,13935424.054452268,582272.7976801129,14517696.852132382,15093604.264825765,154316.08564538983,1669818.726447444,123269.35772861395,8.185452315956354e-12,2.0372681319713593e-10,0,154.937290700007
Sall,334,2025-02-01,2025-12-31,6000.0,6000.0,14063352.724928154,-125159.43584564193,13938193.289082512,579446.8825228518,14517640.171605363,15095064.124470461,154171.38116481106,1669593.3242199684,123774.28848462546,8.185452315956354e-12,2.0372681319713593e-10,0,179.08601260000432
