conversion,issue_hour,days,future_slots_per_day,MAE_kwh_per_slot,WAPE,bias_kwh_per_slot
linear_endpoint,0,334,144,32.9151620830099,0.08301939106151637,-4.946037135797849
linear_endpoint,6,334,108,26.419412773912054,0.05014199678007548,-2.235306580126785
linear_endpoint,12,334,72,12.542122730927035,0.03237210503174541,0.28515604901308483
linear_endpoint,18,334,36,1.6691901405522287,0.5145274405315333,1.6549681983255708
step,0,334,144,61.87013002987081,0.1560502879196825,-4.946037135797851
step,6,334,108,69.22655744113625,0.1313866379246995,-3.873471656224589
step,12,334,72,47.697843876136616,0.12311150551402399,-44.517473067753386
step,18,334,36,3.2357994760479043,0.9974343737337154,-3.2357945470170764
