strategy,report_days,report_start,report_end,initial_soc_kwh,final_soc_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan_for_same_policy,emergency_kwh,curtail_kwh,spill_kwh,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,elapsed_seconds
S0,334,2025-02-01,2025-12-31,6000.0,6000.0,14655606.970291352,9.404175216332078e-10,14655606.970291354,843452.0329691551,15499059.003260508,15499059.003260508,211798.6938699519,1956441.0918650802,129362.72680465718,1.4736656339664478e-11,1.5206680359369784e-10,0,95.82633570001053
S6,334,2025-02-01,2025-12-31,6000.0,6000.000000000001,14655583.50518538,4931.041635906515,14660514.546821287,653641.0259725063,15314155.572793793,15792065.27102669,162845.88319760616,1749533.400635254,123710.25084393742,2.6943780540023e-11,1.1641532182693481e-10,0,142.49329549999675
S12,334,2025-02-01,2025-12-31,6000.0,6000.000000000002,14655569.141773129,-83759.08957844914,14571810.05219468,706624.4213331435,15278434.473527823,15688868.701826809,176566.48700991538,1785993.3186824282,123630.73079086757,1.4097167877480388e-11,1.1641532182693481e-10,0,121.2157109999971
S18,334,2025-02-01,2025-12-31,6000.0,6000.000000000001,14655824.334181339,20806.675571319494,14676631.009752657,830611.9002154756,15507242.909968132,15518144.71813611,209409.87659189408,1956278.9955277683,126777.99297099753,9.094947017729282e-12,1.4367174117069226e-10,0,140.6789984999923
S6_12,334,2025-02-01,2025-12-31,6000.0,6000.000000000004,14655574.666306226,-130886.60018046875,14524688.066125756,612468.7214151747,15137156.787540931,15737089.659287184,153489.22721415074,1631864.5116516226,124048.12638977039,2.8762769943568856e-11,1.1641532182693481e-10,0,275.71473459999834
Sall,334,2025-02-01,2025-12-31,6000.0,6000.000000000001,14655792.477291053,-127414.81979627832,14528377.657494774,609760.8581397414,15138138.515634516,15738919.732559549,153291.84504660903,1632017.7174871147,125559.1337059297,2.6943780540023e-11,2.0051516003150027e-10,0,308.7388678999996
