strategy,total_cost_yuan_fixed,plan_cost_yuan_fixed,adjustment_cost_yuan_fixed,market_cost_yuan_fixed,emergency_cost_yuan_fixed,emergency_kwh_fixed,curtail_kwh_fixed,spill_kwh_fixed,total_cost_yuan_fluc,plan_cost_yuan_fluc,adjustment_cost_yuan_fluc,market_cost_yuan_fluc,emergency_cost_yuan_fluc,emergency_kwh_fluc,curtail_kwh_fluc,spill_kwh_fluc,total_cost_yuan_diff,plan_cost_yuan_diff,adjustment_cost_yuan_diff,market_cost_yuan_diff,emergency_cost_yuan_diff,emergency_kwh_diff,curtail_kwh_diff,spill_kwh_diff
S0,14861385.816321924,14055287.819257293,8.62200977280736e-10,14055287.819257293,806097.9970646327,214020.65139823008,2014105.178276008,129787.40939464964,15499059.003260508,14655606.970291352,9.404175216332078e-10,14655606.970291354,843452.0329691551,211798.6938699519,1956441.09186508,129362.72680465718,637673.1869385839,600319.151034059,7.821654435247183e-11,600319.1510340609,37354.0359045224,-2221.9575282781734,-57664.08641092805,-424.6825899924588
S6,14686099.8074605,14059776.195406144,5024.996050085538,14064801.191456228,621298.6160042728,163570.06583884437,1793549.6774157246,122583.335605739,15314155.572793791,14655583.50518538,4931.041635906515,14660514.546821289,653641.0259725063,162845.88319760616,1749533.400635254,123710.25084393742,628055.7653332911,595807.3097792361,-93.95441417902293,595713.3553650603,32342.409968233434,-724.182641238207,-44016.27678047051,1126.9152381984168
S12,14655735.821036054,14063502.640926316,-83309.2497241636,13980193.39120215,675542.4298339026,178625.59781484894,1822617.3538156245,122345.20314295654,15278434.473527825,14655569.141773129,-83759.08957844914,14571810.05219468,706624.4213331435,176566.48700991538,1785993.3186824282,123630.73079086756,622698.6524917707,592066.5008468125,-449.83985428554297,591616.6609925292,31081.99149924086,-2059.11080493356,-36624.035133196274,1285.527647911018
S18,14875907.770200692,14063336.963616043,18562.95440499209,14081899.918021036,794007.8521796559,211753.9449265744,2007694.205246112,124623.11711552137,15507242.909968132,14655824.33418134,20806.67557131949,14676631.009752655,830611.9002154756,209409.87659189408,1956278.9955277685,126777.99297099753,631335.13976744,592487.3705652971,2243.7211663273993,594731.0917316191,36604.048035819666,-2344.0683346803125,-51415.20971834357,2154.875855476159
S6_12,14517696.852132382,14063552.277548768,-128128.22309649884,13935424.054452268,582272.7976801129,154316.08564538983,1669818.726447444,123269.35772861396,15137156.787540931,14655574.666306226,-130886.60018046875,14524688.066125756,612468.7214151747,153489.22721415074,1631864.5116516226,124048.1263897704,619459.9354085494,592022.388757458,-2758.3770839699137,589264.0116734877,30195.923735061777,-826.8584312390885,-37954.214795821346,778.7686611564422
Sall,14517640.171605363,14063352.724928154,-125159.43584564191,13938193.289082512,579446.8825228518,154171.38116481106,1669593.3242199684,123774.28848462546,15138138.515634516,14655792.477291051,-127414.81979627832,14528377.657494774,609760.8581397414,153291.84504660903,1632017.7174871147,125559.1337059297,620498.3440291528,592439.7523628976,-2255.383950636402,590184.3684122618,30313.97561688954,-879.5361182020279,-37575.60673285369,1784.8452213042328
