date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-02-01,0,S18,0.0,33195.36553002063,80642.57386566818,42688.77507127642,6000.0,6000.0,6,32
2025-02-01,18,S18,9.066666666667345,9171.796313916931,20067.328673620643,11372.946906939698,10267.142411008923,6000.0,0,0
2025-02-02,0,S18,0.0,73355.4350345331,162509.4795860856,91190.88961151017,5961.072210365569,5961.072210365569,0,0
2025-02-02,18,S18,2.6147972675971687e-12,16238.617749865512,26736.93480435777,18339.684553451585,10800.0,5961.072210365569,0,0
2025-02-03,0,S18,0.0,75944.09649543726,162594.18588005955,93278.80476739988,5961.072210365567,5961.072210365567,0,12
2025-02-03,18,S18,32.87496173511295,16525.888662696278,26719.539368163423,18566.013788369666,10800.000000000002,5961.072210365567,0,0
2025-02-04,0,S18,0.0,69528.32656525783,118949.04981638513,79417.11688214993,5961.072210365569,5961.072210365569,0,46
2025-02-04,18,S18,1.8758328224066645e-12,15961.931258271135,27074.596551380688,18196.850092457633,10800.0,5961.072210365569,0,0
2025-02-05,0,S18,0.0,58697.09321092883,61643.495307402954,59290.900840175615,5940.404474926081,5940.404474926081,0,8
2025-02-05,18,S18,9.949976113657172,14469.798531977,14906.954818833601,14558.626031769702,10800.000000000002,5940.404474926081,0,0
2025-02-06,0,S18,0.0,63404.0969326628,65913.90577316759,63910.704367430386,5940.404474926081,5940.404474926081,0,33
2025-02-06,18,S18,8.328737304573565,14682.45816433129,15152.20486251206,14784.364860415602,10800.000000000002,5940.404474926081,0,0
2025-02-07,0,S18,0.0,26991.998449182473,27951.729709165324,27187.81673391303,5928.056686312735,5928.056686312735,18,6
2025-02-07,18,S18,4.940000000001135,7516.488283921777,7841.684388524105,7582.997579817305,10283.575707021422,5928.056686312735,0,0
2025-02-08,0,S18,0.0,20407.977120324456,21992.690592251234,20728.35599182742,5927.8245620198595,5927.8245620198595,23,0
2025-02-08,18,S18,29.717427211441986,7550.454537186113,7886.4731994572,7670.079398652883,10148.371121435666,5927.8245620198595,0,0
2025-02-09,0,S18,0.0,59212.66144389862,61985.280705674835,59771.6801295872,5831.735065311149,5831.735065311149,0,0
2025-02-09,18,S18,1.2000416666686533,14246.275213513645,14767.456129331062,14351.892243036025,10800.0,5831.735065311149,0,0
