day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,residual_blocks,emergency_kwh,load_kwh,curtail_kwh,unextracted_kwh,final_soc,settlement_method,primary_emergency_cost,secondary_status,emergency_cost_gap,cost_tolerance,dev_c,dev_r
31,2025-02-01,7552.443450228718,28092.93026023873,28580.78647955373,27141.14719540938,517.607218381526,27658.754413790903,0.0015465074912855,0.0718568811340901,0.1281338841084516,0,30,118.00657314126072,76305.20628333333,5372.273247878436,2876.8539200470814,3673.303621900073,causal_sequential_plan_bounded,517.607218381526,0,0.0,0.0,0.0,2225.9732597100656
32,2025-02-02,3673.303621900073,71440.96524787888,165383.71371796555,61002.88208453593,130.44786456982922,61133.32994910576,0.0002293003355288,0.1353328543066723,0.0033011185966514,0,30,27.90722036450541,121705.97265,143.10248333333334,12625.75706014232,2283.839084150595,causal_sequential_plan_bounded,130.44786456982922,0,0.0,0.0,4774.396712406469,4842.716512784778
33,2025-02-03,2283.839084150595,64715.679432287165,116097.05731324133,58481.74669933987,150.2888013846248,58632.035500724494,0.0003141311843182,0.0810209406793967,0.0,0,30,38.51366715784667,122603.769,0.0,7374.346992169546,1774.1022804321055,causal_sequential_plan_bounded,150.2888013846248,0,0.0,0.0,2957.671926893633,2912.406313172738
34,2025-02-04,1774.1022804321055,63408.48785500422,113885.28773646314,57273.047906930806,1721.5081969706318,58994.55610390144,0.0037436492380366,0.0498318085783265,0.0,0,30,455.1457571217486,121578.09884999998,0.0,4465.993937052834,1875.4383577369556,causal_sequential_plan_bounded,1721.5081969706318,0,0.0,0.0,733.7625264598885,1202.2421683957657
35,2025-02-05,1875.4383577369556,60453.37848344157,61743.686703345775,59027.86110452912,987.9384054060096,60015.799509935125,0.0019910377578981,0.090234853229812,4.97664342431956e-05,0,30,242.88885523370865,121991.08443333334,2.052500000000066,8356.00399092544,1423.6366845913062,causal_sequential_plan_bounded,987.9384054060096,0,0.0,0.0,2573.7845907974493,2286.038534678112
36,2025-02-06,1423.6366845913062,59447.46289061919,61219.994931614674,58084.15354389773,701.729113474079,58785.88265737181,0.0011741663996899,0.068336136607681,3.336778892644625e-05,0,30,143.54438173177175,122252.1627,1.400816666666742,6211.923328572955,1816.907130266359,causal_sequential_plan_bounded,701.729113474079,0,0.0,0.0,2439.134805933414,2530.9156100457885
37,2025-02-07,1816.907130266359,25083.1567683756,25859.715643145653,23986.04437007972,315.5385811575738,24301.58295123729,0.0007942448316268,0.091084726398676,0.1314778644068485,0,30,60.49651444656647,76168.59693333332,5832.741621079038,4109.59854800336,1832.326472478088,causal_sequential_plan_bounded,315.5385811575738,0,0.0,0.0,1077.374024530886,1441.7667851002914
38,2025-02-08,1832.326472478088,26445.121646745447,27094.05241987564,25494.14299367866,1762.3396423040608,27256.48263598272,0.0063974513438229,0.0224425440802583,0.0616799103617048,0,30,484.586387588769,75746.78751666666,2724.378498374137,844.9099192501415,2565.486065647801,causal_sequential_plan_bounded,1762.3396423040608,0,0.0,0.0,85.96297088990848,1298.567465503845
39,2025-02-09,2565.486065647801,56413.75929708117,57462.61367414515,54929.2938365889,1784.7088239302186,56714.00266051912,0.0035966621422003,0.0428440827871837,0.0,0,30,437.16674322205296,121547.90356666666,0.0,3674.89189039248,1447.598541371437,causal_sequential_plan_bounded,1784.7088239302186,0,0.0,0.0,1576.4162162496027,1499.735822396466
40,2025-02-10,1447.598541371437,57558.56946010349,59210.290796318026,56266.859352715794,530.2852758106862,56797.14462852648,0.0012534712077314,0.1057820415143135,0.0142231403201936,0,30,152.2686295069836,121477.56451666664,670.6342500000001,9330.83849144926,1817.8344033418716,causal_sequential_plan_bounded,530.2852758106862,0,0.0,0.0,4477.499055616414,4182.825198056973
