方案,报告期总费用(元),相对完美信息对照方案的费用差(元),其中紧急购电费(元)
Q4-2 主模型（波动电价随机规划）,15561929.837286433,2732684.8751648124,891539.732808211
B0 完美信息对照方案（当日实际值，逐日求解）,12829244.96212162,0.0,7.271974766669723e-10
B1 Q2固定价策略（实际波动价结算）,15499485.651411183,2670240.6892895624,887318.971150947
B2 实时市场即时购电（假想：无 0:00 计划承诺，按实时价成交）,17026782.858099066,4197537.895977445,
B2' 无计划·全额紧急购电（题目规则 5× 交易时刻电价）,85133914.29049523,72304669.32837361,85133914.29049523
B3 典型日(Q1)策略,51218227.36811797,38388982.40599635,39529619.8898771
