date,i,n_pool,max_block_day,trunc_load,trunc_pv,trunc_price,mean_abs_dev_load,mean_abs_dev_pv,mean_abs_dev_price,cold_start
2025-01-01,0,0,-1,0,0,0,0.0,0.0,0.0,1
2025-01-02,1,0,-1,0,0,0,0.0,0.0,0.0,1
2025-01-03,2,1,1,0,0,0,23.174773842592558,10.191742013888891,0.03823402777777777,0
2025-01-04,3,2,2,0,0,0,179.76928291988412,11.309176440972227,0.10651131944444443,0
2025-01-05,4,3,3,104,70,0,182.4954548975665,11.64601141975309,0.08770708814414191,0
2025-01-06,5,4,4,0,12,0,69.99187795520177,7.905669227132383,0.029293402579620723,0
2025-01-07,6,5,5,0,4,0,151.92059602783405,10.099425642286743,0.07435434755887958,0
2025-01-08,7,6,6,0,659,0,76.65279792985363,3.977120741568185,0.038752448702020215,0
2025-01-09,8,7,7,0,264,0,56.964998820496504,5.86150971854475,0.025585256017117544,0
2025-01-10,9,8,8,0,672,0,36.427284872810475,3.7456516786626475,0.024262790869814588,0
2025-01-11,10,9,9,44,431,0,15.91783971209211,3.5101026547355145,0.013267230367553028,0
2025-01-12,11,10,10,0,389,0,34.964161113221095,3.6593137211180786,0.018161816773540528,0
2025-01-13,12,11,11,0,555,0,36.47331584593045,4.614138472841816,0.017105921705457147,0
2025-01-14,13,12,12,0,366,0,87.4641236399579,4.832788938483221,0.03753454158269787,0
2025-01-15,14,13,13,0,0,0,57.222599507906025,4.409833067463034,0.01615800195061653,0
2025-01-16,15,14,14,0,490,0,25.097755982754144,3.572582663094358,0.011768086944860433,0
2025-01-17,16,15,15,30,430,0,33.64806731968019,5.957653775603599,0.012876392363748145,0
2025-01-18,17,16,16,66,466,0,86.84101931199623,4.495098361398989,0.05545431666261821,0
2025-01-19,18,17,17,0,380,0,23.970187494004442,4.753704407680214,0.02070652346807775,0
2025-01-20,19,18,18,0,746,0,46.85479503573363,3.2378758686040996,0.025955122063605045,0
2025-01-21,20,19,19,0,81,0,57.29324298356419,5.23692118626286,0.0418657073250148,0
2025-01-22,21,20,20,0,0,0,13.909074976511745,5.233775182778761,0.010587670918012815,0
2025-01-23,22,21,21,0,666,0,34.26875612593362,3.8109675544150026,0.01918186558887479,0
2025-01-24,23,22,22,6,941,0,8.737411524115839,3.9267841217507615,0.011631865098294383,0
2025-01-25,24,23,22,18,405,0,14.025694376234485,4.425095392001383,0.009248647180430947,0
2025-01-26,25,24,23,0,689,0,15.290093432978788,4.485323458888055,0.03325868688756153,0
2025-01-27,26,25,25,0,0,0,47.171628197283795,4.979626006634388,0.02972860742290737,0
2025-01-28,27,26,26,0,486,0,15.923131839635914,4.145482755198863,0.009697821656394852,0
2025-01-29,28,27,24,0,162,0,6.566739598259716,5.429231801985309,0.008887544964373387,0
2025-01-30,29,28,28,0,0,0,24.55064792627847,4.8767411297428325,0.020863905854081863,0
2025-01-31,30,29,28,0,79,0,45.92856022588551,5.226503436932668,0.031052587681232504,0
2025-02-01,31,30,30,18,1056,0,25.777116526687962,3.9136934302494697,0.022499708338031235,0
2025-02-02,32,30,31,0,483,0,7.360577732057667,6.8780335722758785,0.02010225911685799,0
2025-02-03,33,30,31,0,0,0,19.71538211385373,4.040265054553593,0.024240159282005912,0
2025-02-04,34,30,33,0,559,0,8.587716725716271,5.026019389203279,0.01879693833455734,0
2025-02-05,35,30,34,0,1537,0,5.456580184790751,3.7600687313796186,0.017185783478330736,0
2025-02-06,36,30,35,0,1472,0,9.193311794196964,3.5802025003713993,0.020438832452766134,0
2025-02-07,37,30,35,0,1206,0,5.105724203792137,4.735911819254176,0.013087588825115763,0
2025-02-08,38,30,37,25,845,0,29.704848350895443,9.062208324442881,0.03877437303267409,0
2025-02-09,39,30,38,0,554,0,38.273693844096464,4.4428915003993055,0.04459401349767193,0
2025-02-10,40,30,39,0,943,0,53.05548160405345,6.370397230210339,0.03508129418754113,0
2025-02-11,41,30,40,0,553,0,4.793091918715071,7.426836706495136,0.012473875997411572,0
2025-02-12,42,30,41,0,631,0,5.421902670905596,9.502602943971661,0.02139170211486546,0
2025-02-13,43,30,42,0,1490,0,5.3528798493368175,4.779723458438749,0.011357606451665638,0
2025-02-14,44,30,43,0,1066,0,4.845140131778916,8.307219839879776,0.01750180437385009,0
2025-02-15,45,30,43,0,550,16,5.038427259556228,9.024661880169145,0.038219913993683796,0
2025-02-16,46,30,44,0,1824,0,11.06644962774871,4.077772818120955,0.02153785623648123,0
