方案,计划购电量(kWh),"计划购电费(实际波动价,元)",平均购电单价(元/kWh),最便宜25%时段占比(%),充电落在最便宜25%(%),放电落在最贵25%(%)
Q4-2 主模型（波动价优化）,22803530.03864635,14670390.104478229,0.6433385567767596,41.17352451954835,48.216280825024185,71.94626582113285
B1 Q2固定价优化（同一结算口径）,22707641.98016303,13750656.757391823,0.6055519445569971,43.3247743664034,49.48291830964526,70.27491162537433
