变体,光伏预报源,价格信息,选参规则,联络线上限(kW),"选中(M,β,κ×)",报告期总费用(元),计划购电费(元),紧急购电费(元),紧急购电量(kWh),日费用CVaR90(元),紧急购电率(%)
V_cap8000,q2,unknown,legacy,8000.0,"(20, 0.2, 1.0)",15553009.607263489,14594881.895099046,958127.712164448,234659.8668239221,77150.28628999997,0.6340773962401517
V_official_known,official,known,risk_aware,,"(20, 0.01, 0.25)",15479035.553236624,14332130.462838791,1146905.0903978285,286511.94700218074,76889.65694069826,0.7741875583827739
V_official_unknown,official,unknown,risk_aware,,"(20, 0.0, 0.25)",15621547.96776191,14475477.717724487,1146070.2500374292,286266.5543255451,77328.76279622794,0.773524479725296
V_q2_known,q2,known,risk_aware,,"(30, 0.01, 0.25)",15252994.270129872,14176086.447722958,1076907.822406912,262352.5696882256,76393.87500971895,0.7089061991569515
V_q2_unknown_risk,q2,unknown,risk_aware,,"(20, 0.0, 0.25)",15444173.436290942,14345859.008127494,1098314.4281634449,267394.64104747644,76786.4115313369,0.7225304439943944
