方案,计划购电费(元),紧急购电费(元),总费用(元),计划购电量(kWh),计划均价(元/kWh),紧急购电量(kWh),紧急均价(元/kWh)
Q4-2 主模型（波动电价优化）,14670390.104478229,891539.7328082081,15561929.837286437,22803530.03864635,0.6433385567767596,217118.0531010013,4.106244138037992
B1（Q2 固定价策略）,13750656.757391823,1748828.8940193597,15499485.651411183,22707641.98016303,0.6055519445569971,217626.8641159989,8.035905406821483
